CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,AdaptiveCruiseControl1,ForwardCollisionWarning1,LaneDepartureWarning1,AutomaticEmergencyBraking1,BlindSpotMonitoring1,LaneKeepSystem1,RearVisibilityCamera1,AdaptiveHeadlights1,ParkAssist1,ADAS1
1410342,11030205,Chrysler (FCA US LLC),CHRYSLER,200,2015,Y,20170919,N,1,0,seat belts,WALTERBORO,SC,,20170927,20170927,78000,1,"tl* the contact owned a 2015 chrysler 200. the contact stated that the cruise control was set to 60 mph when the side air bag suddenly deployed without warning. the contact was struck in the face. a bystander informed the contact that the vehicle suddenly veered off the road. the contact believed that they may have either blacked out or fallen asleep. the contact stated that the vehicle drove into a ditch. the driver's air bag located in the steering wheel failed to deploy and the driver's side seat belt failed to retract. the vehicle was destroyed and towed. a police report was filed. the contact received injuries to the face, arms, back, and chest. medical attention was needed. the manufacturer was not made aware of the failure. the vin was unknown. the approximate failure mileage was 78,000.   spoke w/ owner/driver of vehicle.  concern is with driver frontal air bag not deploying in this impact.  side airbags did deploy after impact into ditch and not before as stated above.pco ..updated 09/28/17 *bf  .. .updated 10/04/17 *bf  updated 10/11/2017*js  vin not available updated 07/23/18*jb",EVOQ,Y,,N,N,N,,,,,,60,,,,,,,,,,,,,,V,,Y,Y,0,0,0,0,0,0,0,0,0,0
1342904,10936679,Hyundai Motor America,HYUNDAI,SANTA FE,2015,N,20161124,N,,,electrical system,FORT WAYNE,IN,KM8SRDHF1FU,20161221,20161221,21500,1,"similar to incident 10885095; blind spot detection system failed while driving on an interstate at 70 mph. upon inspection by dealer, it was found the system needed to be ""re-calibrated"", but no bsd sensor issues were found.  *tr",IVOQ,N,,N,N,N,6,AWD,,GS,,70,,,,,,,,,,,,,,V,,N,N,0,0,0,0,1,0,0,0,0,1
1361795,10959698,Toyota Motor Corporation,TOYOTA,LAND CRUISER,2016,N,20170306,N,,,electrical system,MORGAN HILL,CA,JTMCY7AJ9G4,20170308,20170308,6000,,purchased vehicle in early 2016.  may/june 2016 noticed hole in panel adjacent to windshield and dash on passenger side.  car parked in driveway.  nest located by toyota dealer in the air filter cabin.  approximately 700$ repair.    march 2017.  car parked overnight.  in the morning noticed chewed up pieces of foam and rubber and large rat feces all over vehicle interior.  middle row seat chewed.  popped the engine hood.  very sizable nest located in engine.   vehicle currently in for repair estimated at 1000$ plus deductible and rental car fees as well.  contacted dealer and toyota customer service.  basically told that toyota uses soy based products in an effort to be environmentally friendly and they cannot do anything to fix the issue but can only take down my record of complaint.  i emphasized that i have 2/3 other vehicles that have been parked in the same location and have never been targeted by rodents but this vehicle has attracted rodents twice in 9 months and that it is a huge safety hazard since they are chewing into wiring in my engine because they are obviously attracted to the manufacturing components.    i also inquired what i as the consumer could do to deter the issue.   they could give no advice of course.  and toyota is aware but continues to compromise their customer's safety in an effort to be environmentally friendly.,IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1344127,10937794,"Tesla Motors, Inc.",TESLA,MODEL S,2016,N,20161101,N,,,suspension,BEVERLEY HILLS,CA,5YJSA1E24GF,20161228,20161228,7000,,"here is a tesla in the salvage yard.  https://m.iaai.com/vehicledetenc.aspx?auctionid=0&itemid=23919966&rowid=7&pagesource=vehicleresults#    the front lh wheel is skewed inwards and over at an angle  whilst the rh wheel is pointing straight forward.  this indicates a broken steering or suspension component.  there is no damage to the wheel and tire and no evidence of an impact hard enough to have broken the suspension.  there have been many other cases where tesla suspensions have snapped.  please investigate.    please note:  i am not the owner, merely a concerned citizen.  date reported is an estimation.  exact date of incident is unknown to me.     ",IVOQ,N,,N,N,N,,,,,,30,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1355442,10954072,Ford Motor Company,FORD,ESCAPE,2014,N,20170116,Y,,,unknown or other,BELLEFONTE,PA,1FMCU9GX5EU,20170212,20170212,58205,,driving down the road (4 lane highway) and my vehicle jolted all the sensors lit up including a blue one so i pulled off to the side of the road and turned vehicle off then saw flames and exited vehicle.,IVOQ,N,,N,N,N,,,,,,70,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1267248,10845710,Ford Motor Company,FORD,MUSTANG,2014,N,20150501,N,,,air bags,SAINT LOUIS,MO,1ZVDP8AMGE5,20160309,20160309,,,recall metal fragments in air bags parts after a year are still not available   customer lifes are in danger do to such hazardous safety,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1392821,11006198,Keystone RV Company,KEYSTONE,BULLET,2017,N,20161101,N,,,suspension,TARPON SPRINGS,FL,4YDT26R28HD,20170718,20170718,1000,,"tl* the contact owns a 2017 keystone bullet travel trailer. while driving at speeds above 60 mph, the trailer became extremely unstable and swayed and rocked back and forth. the trailer was taken to the dealer (camping world of new port richie in holiday, florida). the hitch and tires were replaced, but the failure continued. the manufacturer was notified of the failure, but no assistance was offered. the failure mileage was 1,000. ",EVOQ,N,,N,N,N,,,,,,60,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1300615,10886251,"Tesla Motors, Inc.",TESLA,MODEL S,2015,N,20160601,N,,,steering,BEVERLEY HILLS,CA,5YJSA4H45FF,20160720,20160720,9000,,another tesla in the junkyard.  http://www.copart.com/us/lot/22864206?searchid=1540816254    there is no collision damage to the car bur the entire front suspension has snapped off.  this is an awd model and should be expected to have a stronger suspension to cope with the added weight and power.  this is clearly not the case because the suspension components have snapped off  please look at this car as part of your investigation into potential defects in the tesla suspension  ,IVOQ,N,,N,N,N,,,,,,40,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1400627,11015730,Chrysler (FCA US LLC),DODGE,DART,2016,N,20170505,N,,,electrical system,BRONX,NY,1C3CDFBB1GD,20170816,20170816,5000,,"tl* the contact owns a 2016 dodge dart. while driving 25 mph on a rainy day, the windshield wipers failed to work without warning. the vehicle was taken to the dealer (eastchester chrysler jeep dodge ram located at 4007 boston rd, bronx, ny 10466; (718) 547-5500) where it was diagnosed and repaired, but the contact was not sure of the specific repairs. the contact stated that the failure recurred two other times. while driving in the rain, the windshield wipers failed to stop without warning. the contact stopped the windshield wipers by disconnecting the battery. the vehicle was taken to the same dealer where it was diagnosed that the body control module needed to be replaced. the vehicle was repaired again. the manufacturer was not contacted. the approximate failure mileage was 5,000.",EVOQ,N,,N,N,N,,,,,,25,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1429151,11052084,Chrysler (FCA US LLC),DODGE,AVENGER,2014,N,20171122,N,,,engine,SEATTLE,WA,1C3CDZAB6EN,20171203,20171203,2,,"on november 3rd my car over heated. i have to get it towed away to the dealership. same dealership i bought my car from. after they diagnosed my car they said the hose broke and over heating melted my sensors. they asked me $773.55 for repairing. on good faith i took my car from the dealership. just after 2 weeks, a day before thanks giving my car over heated again. again i have to get it towed away again to the dealer ship. my car has been in the shop for more than 12 days. at first they are saying that my gas kit blew and then later they said they have to replace my engine. my concern here is that why was it not done on the first attempt. i borrowed money against my 401k plan and i cant take another loan to get it fixed. my wife is stage 3 cancer patient. we do not have enough money. i believe renton car pros dodge and chrysler should be responsible for the repair. they should have fixed it on the very first time. they actually sold me a defective car. which car really breaks down within 4 years.",IVOQ,N,,N,N,N,,,,,,30,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
